rank,player_id,player_name,team_name,competition_name,season_name,competition_id,season_id,n_pressing_events,pap_score,pap_percentile,success_rate,expected_success,avg_difficulty,top_pressure_zone
63,7024,Jorge Luiz Frello Filho,Italy,UEFA Euro,2020,55,43,247,0.012923559548334233,58.7,0.5020242914979757,0.4891007319496415,0.5108992680503586,final_third
64,48347,Amadou Onana,Belgium,UEFA Euro,2024,55,282,139,0.012720354104536586,58.0,0.5035971223021583,0.4908767681976217,0.5091232318023783,final_third
65,3026,Adrien Rabiot,France,UEFA Euro,2020,55,43,262,0.01265877076803134,57.3,0.46946564885496184,0.4568068780869305,0.5431931219130695,final_third
66,5207,Cristiano Ronaldo dos Santos Aveiro,Portugal,UEFA Euro,2020,55,43,218,0.012240961998231882,56.7,0.44495412844036697,0.4327131664421351,0.5672868335578649,final_third
67,30714,Jude Bellingham,England,UEFA Euro,2024,55,282,336,0.011252036107245556,56.0,0.4107142857142857,0.39946224960704013,0.6005377503929599,final_third
68,5237,Hakim Ziyech,Morocco,FIFA World Cup,2022,43,106,169,0.00894287596242134,55.3,0.33136094674556216,0.3224180707831408,0.6775819292168592,right_half_space
69,6983,Remo Freuler,Switzerland,UEFA Euro,2020,55,43,223,0.008849054481370218,54.7,0.47533632286995514,0.4664872683885849,0.5335127316114151,final_third
70,3167,Antonio Rüdiger,Germany,UEFA Euro,2024,55,282,147,0.00884287379658628,54.0,0.5238095238095238,0.5149666500129375,0.4850333499870625,final_third
71,8819,Alexander Isak,Sweden,UEFA Euro,2020,55,43,100,0.0071242348313083625,53.3,0.44,0.43287576516869164,0.5671242348313084,final_third
72,4354,Phil Foden,England,UEFA Euro,2024,55,282,244,0.00613752263630364,52.7,0.4098360655737705,0.4036985429374669,0.5963014570625331,final_third
73,3570,Pierre-Emile Højbjerg,Denmark,UEFA Euro,2020,55,43,307,0.005074981474210232,52.0,0.4592833876221498,0.4542084061479396,0.5457915938520603,final_third
74,3244,John Stones,England,UEFA Euro,2020,55,43,251,0.004882508781103961,51.3,0.5139442231075697,0.5090617143264657,0.49093828567353426,final_third
75,7843,Mason Mount,England,UEFA Euro,2020,55,43,130,0.004877030656376378,50.7,0.36153846153846153,0.3566614308820852,0.6433385691179148,final_third
76,7044,Patrik Schick,Czech Republic,UEFA Euro,2020,55,43,111,0.0037630711236614606,50.0,0.42342342342342343,0.41966035229976195,0.580339647700238,final_third
77,11748,Unai Simón Mendibil,Spain,UEFA Euro,2024,55,282,161,0.0012773408390870827,49.3,0.37888198757763975,0.3776046467385527,0.6223953532614472,own_box
78,8400,Serge Gnabry,Germany,FIFA World Cup,2020,43,43,110,0.0010904612382033752,48.7,0.44545454545454544,0.4443640842163421,0.5556359157836579,final_third
79,6748,Ferrán Torres García,Spain,UEFA Euro,2020,55,43,194,0.0004760242608288317,48.0,0.37628865979381443,0.3758126355329856,0.6241873644670144,final_third
80,10481,Aurélien Djani Tchouaméni,France,FIFA World Cup,2022,43,106,198,0.00030405168865739815,47.3,0.4797979797979798,0.4794939281093224,0.5205060718906775,final_third
81,3089,Kevin De Bruyne,Belgium,UEFA Euro,2024,55,282,258,-5.574209771214392e-05,46.7,0.44573643410852715,0.4457921762062393,0.5542078237937607,final_third
